artists,track_name,popularity,duration_ms,explicit,danceability,energy,valence,tempo,track_genre
Megadeth,Holy Wars...The Punishment Due - Remastered,69,392600,False,0.325,0.985,0.221,125.307,rock
Fall Out Boy,Yule Shoot Your Eye Out,0,221013,False,0.668,0.522,0.718,107.979,rock
Fitz and The Tantrums,Sway,0,136940,False,0.705,0.927,0.945,159.978,rock
Pearl Jam,Garden,55,298933,False,0.191,0.707,0.179,82.7,rock
The Doors,Indian Summer,54,154066,False,0.495,0.154,0.147,102.673,rock
ZZ Top,Sharp Dressed Man - 2008 Remaster,73,258026,False,0.601,0.859,0.446,125.145,rock
Amaarae;Kali Uchis;Moliy;xxtristanxo,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) - Slowed + Reverb,57,138646,True,0.774,0.579,0.418,92.399,rock
Ethan Ross;Max Volante,KILL THEM,50,78095,True,0.728,0.862,0.403,126.006,rock
The Velvet Underground;Nico,Femme Fatale,64,159000,False,0.55,0.145,0.138,103.918,rock
Linkin Park,New Divide,56,268613,False,0.493,0.808,0.38,117.971,rock
Linkin Park,Battle Symphony,64,216281,False,0.653,0.839,0.669,149.034,rock
The Beatles,I Saw Her Standing There - Remastered 2009,67,173946,False,0.491,0.801,0.971,160.109,rock
blink-182,What's My Age Again?,4,148360,True,0.391,0.951,0.468,157.663,rock
The Verve,Bitter Sweet Symphony,80,357266,False,0.356,0.917,0.518,171.176,rock
FACE,24 на 7,54,189257,False,0.565,0.481,0.518,72.737,rock
Attaque 77,El Cielo Puede Esperar,44,253840,False,0.39,0.757,0.739,159.319,rock
Against The Current,weapon,2,197209,False,0.402,0.924,0.443,180.075,rock
Alice In Chains,Nutshell,71,259200,False,0.384,0.561,0.159,136.136,rock
RADWIMPS,Is There Still Anything That Love Can Do?,56,414466,False,0.536,0.403,0.246,141.551,rock
Royal Blood,Honeybrains,0,186847,False,0.523,0.8,0.604,125.886,rock
Eric Burdon,Don't Let Me Be Misunderstood,0,157360,False,0.673,0.712,0.912,113.061,rock
Panteon Rococo,Que Pasará,47,240373,False,0.736,0.878,0.833,160.078,rock
Scorpions,You & I - Live,52,319346,False,0.591,0.745,0.393,125.859,rock
Soda Stereo,Cae el Sol,38,291306,False,0.467,0.697,0.249,98.071,rock
Halestorm,I Miss the Misery,61,183506,False,0.469,0.969,0.476,164.042,rock
Herr D.K.;Resi Reiner,Angst vor der Stille,37,162039,False,0.479,0.296,0.368,197.886,rock
blink-182,I Miss You,77,227250,False,0.423,0.714,0.593,110.017,rock
AC/DC,You Shook Me All Night Long,66,210880,False,0.529,0.768,0.769,127.316,rock
OneRepublic,Run,0,169010,False,0.682,0.72,0.673,117.003,rock
Blue Öyster Cult,(Don't Fear) The Reaper,76,308120,False,0.333,0.927,0.385,141.466,rock
George Strait,O Christmas Tree,0,147720,False,0.499,0.295,0.323,154.938,rock
Tom Petty and the Heartbreakers,Christmas All Over Again,0,253626,False,0.44,0.838,0.619,138.908,rock
Chicano Batman,Amor Verde,29,206120,False,0.49,0.646,0.618,126.0,rock
Everclear,Santa Monica,71,191506,False,0.491,0.942,0.387,100.446,rock
Siouxsie and the Banshees,Halloween,0,221466,False,0.223,0.91,0.364,171.75,rock
LiL Lotus;lil aaron,Girl Next Door,52,157984,True,0.519,0.911,0.881,164.95,rock
Nirvana,Something In The Way,76,232146,False,0.427,0.201,0.0668,105.218,rock
Donovan,Hurdy Gurdy Man,58,193466,False,0.405,0.463,0.542,79.451,rock
Stone Temple Pilots,Interstate Love Song - 2019 Remaster,73,194853,False,0.215,0.927,0.49,170.814,rock
Creed,Weathered,55,330240,False,0.417,0.935,0.318,143.893,rock
The Smashing Pumpkins,"Tonight, Tonight - Remastered 2012",69,254626,False,0.277,0.67,0.217,148.342,rock
Bryan Adams,Merry Christmas,0,151387,False,0.683,0.511,0.598,109.991,rock
3 Doors Down,Kryptonite,80,233933,False,0.545,0.865,0.543,99.009,rock
No Doubt,Spiderwebs,1,266706,False,0.485,0.924,0.661,143.244,rock
Çilekeş,Yetmiyor,40,276080,False,0.472,0.749,0.107,141.986,rock
Kid Rock;Sheryl Crow;Bob Seger,Collide,1,288773,False,0.433,0.732,0.592,199.943,rock
Skank,Tanto (I Want You) - Ao Vivo,45,228040,False,0.511,0.839,0.533,97.583,rock
Babe Rainbow,Something New,57,193251,False,0.629,0.597,0.737,87.847,rock
Scorpions,Wind Of Change,0,311240,False,0.429,0.63,0.211,151.627,rock
GUFI,Apariencia,40,217920,True,0.448,0.939,0.688,178.037,rock
We The Kings;Elena Coates,Sad Song (feat. Elena Coats),49,226330,False,0.512,0.526,0.249,85.024,rock
GAYLE,indieedgycool,0,146769,True,0.728,0.773,0.547,98.011,rock
Rod Stewart;Michael Bublé,Winter Wonderland,0,143226,False,0.684,0.491,0.4,117.916,rock
Kinky,Soun Tha Mi Primer Amor - Remastered,54,191000,False,0.83,0.838,0.829,104.418,rock
RE:UNION,Home,36,244333,False,0.536,0.756,0.538,89.971,rock
My Chemical Romance,The Foundations of Decay,2,360760,False,0.363,0.67,0.198,150.15,rock
The 1975,Happiness,71,303903,False,0.666,0.909,0.846,118.007,rock
The Police,Message In A Bottle - Remastered 2003,3,290280,False,0.568,0.808,0.849,151.12,rock
POORSTACY,make up,61,121413,True,0.781,0.474,0.584,87.615,rock
Adelitas Way,What It Takes,59,189149,True,0.517,0.88,0.612,174.144,rock
Pantera,Walk,0,315120,True,0.428,0.704,0.703,116.898,rock
Metallica,Enter Sandman,81,331266,False,0.577,0.828,0.604,123.257,rock
Soundgarden,Black Hole Sun,0,318586,False,0.351,0.827,0.145,105.463,rock
Štěpán Soukup,Alkoholka 2015,37,205250,False,0.622,0.738,0.466,125.005,rock
9mm Parabellum Bullet,Vampiregirl,1,191786,False,0.378,0.934,0.602,159.829,rock
R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),0,246933,False,0.381,0.894,0.797,205.528,rock
Linkin Park,Across the Line,50,190186,False,0.494,0.905,0.383,180.035,rock
Surf Curse,Randall Flagg,51,219400,True,0.434,0.761,0.637,123.866,rock
No Doubt,Spiderwebs,0,266706,False,0.485,0.924,0.661,143.244,rock
Shinedown,DEVIL,65,207986,False,0.354,0.942,0.242,119.992,rock
Hoobastank,The Reason - Acoustic,51,234187,False,0.309,0.479,0.129,159.77,rock
Soundgarden,Black Hole Sun,1,318586,False,0.351,0.827,0.145,105.463,rock
Ouse;Powfu,Too Many Problems,50,144570,False,0.727,0.438,0.359,81.017,rock
Jimmy Eat World,Last Christmas,0,267493,False,0.532,0.842,0.715,126.042,rock
The Score,Born For This,65,234013,False,0.631,0.684,0.528,129.974,rock
ZZ Top,Tube Snake Boogie,38,184293,False,0.569,0.648,0.965,150.396,rock
Bryan Adams,Merry Christmas,0,151387,False,0.683,0.511,0.598,109.991,rock
RADWIMPS,"Theme of ""Weathering With You""",43,41733,False,0.468,0.247,0.218,92.034,rock
Killing Me Inside,For One Last Time,39,291093,False,0.422,0.936,0.226,159.941,rock
Letter Day Story,Ikaw Pa Rin,37,234866,False,0.369,0.96,0.43,185.176,rock
Pink Floyd,Stop,53,30622,False,0.555,0.0193,0.31,76.113,rock
Volbeat,The Devil's Bleeding Crown,0,238653,False,0.321,0.909,0.209,109.653,rock
Grateful Dead,Ripple - 2013 Remaster,59,249733,False,0.604,0.411,0.675,126.637,rock
Ras & Calle;Tiasnow,Parigi,38,144888,False,0.69,0.708,0.211,95.148,rock
Charly García,Demoliendo Hoteles,0,135973,False,0.616,0.702,0.41,78.728,rock
Samiam,Sunshine,43,196133,False,0.533,0.967,0.455,111.406,rock
Pearl Jam,Last Kiss,71,195466,False,0.622,0.692,0.774,112.053,rock
Every Avenue,Tell Me I'm A Wreck,64,219973,False,0.578,0.76,0.7,127.904,rock
Kamikazee,Sana Kahit Minsan,36,218613,False,0.361,0.93,0.548,102.623,rock
Halflives,Victim,54,200666,True,0.65,0.618,0.366,89.991,rock
Led Zeppelin,Babe I'm Gonna Leave You - 1990 Remaster,62,401066,False,0.404,0.435,0.156,136.058,rock
Luis Alberto Spinetta,Ganges,39,242400,False,0.678,0.32,0.695,100.029,rock
Patricio Rey y sus Redonditos de Ricota,Todo Preso Es Político,46,348533,False,0.406,0.863,0.685,149.8,rock
Waterparks,FUNERAL GREY,0,164138,True,0.645,0.85,0.961,145.971,rock
Totally Nothin,Euforie,36,162875,True,0.582,0.815,0.473,125.066,rock
Paramore,Last Hope,63,309973,False,0.465,0.711,0.255,101.46,rock
Maanam,Lipstick on the Glass,36,183600,False,0.626,0.813,0.783,96.858,rock
Wolfmother,Back Round,0,236866,False,0.359,0.927,0.316,154.071,rock
"Crosby, Stills & Nash",Suite: Judy Blue Eyes - 2005 Remaster,61,444053,False,0.458,0.364,0.3,154.215,rock
The Stranglers,Golden Brown,71,206760,False,0.562,0.383,0.599,93.764,rock
OneRepublic,Christmas Without You,0,197146,False,0.262,0.677,0.365,207.478,rock
Linkin Park,Waiting for the End,42,231680,False,0.487,0.961,0.323,170.005,rock
The Beatles,Fixing A Hole - Remastered 2009,54,156826,False,0.469,0.507,0.619,112.984,rock
Seether,Rise Above This,59,203893,False,0.533,0.83,0.249,120.028,rock
Rana Alagöz;Selçuk Alagöz,Aşkın Gözü Kör Mü,47,210560,False,0.477,0.789,0.856,87.798,rock
Chumbawamba,Tubthumping,2,278960,False,0.608,0.871,0.61,103.78,rock
Québec Redneck Bluegrass Project,Van de loup,42,176080,False,0.813,0.7,0.879,113.87,rock
Rod Stewart,Run Back Into Your Arms,0,206360,False,0.589,0.92,0.893,146.439,rock
TRUSTcompany,Downfall,64,191373,False,0.31,0.94,0.454,128.682,rock
Twisted Sister,We're Not Gonna Take It,75,219666,False,0.502,0.924,0.922,149.186,rock
OneRepublic,White Christmas,0,126513,False,0.439,0.448,0.163,108.184,rock
Klamydia,Kaunehin oot,39,141306,False,0.475,0.97,0.323,105.529,rock
Los Caligaris,Bolso Gris,46,202000,False,0.686,0.72,0.771,97.978,rock
Bishop Briggs,Never Tear Us Apart,59,194826,False,0.372,0.6,0.0753,188.96,rock
Popeda,Matkalla Alabamaan,34,180013,False,0.415,0.879,0.675,145.686,rock
Lifehouse,Blind,55,300066,False,0.425,0.75,0.266,86.911,rock
6ix9ine;Nicki Minaj;Kanye West,MAMA,60,192405,True,0.761,0.673,0.438,160.077,rock
Charlie Brown Jr.,Só Por Uma Noite,35,203133,False,0.575,0.963,0.645,109.03,rock
Bad Wolves,Zombie,69,254805,False,0.448,0.826,0.19,77.093,rock
boom boom kid,She Runaway,40,184106,False,0.588,0.74,0.852,92.982,rock
Secondhand Serenade,Fall for You,53,183600,False,0.396,0.451,0.358,169.518,rock
Alelock;Gaglia,Sottopelle,32,144363,True,0.515,0.665,0.54,82.446,rock
Hawk Nelson,Sold Out,58,213093,False,0.632,0.954,0.788,120.061,rock
Grateful Dead,"Terrapin Station - Live at Hartford, CT, May 28, 1977",30,666280,False,0.488,0.456,0.496,135.056,rock
Machine Head,Davidian,0,296626,False,0.276,0.937,0.306,153.814,rock
The Killers,Mr. Brightside,2,223973,False,0.344,0.931,0.251,148.104,rock
LiSA,紅蓮華,74,237586,False,0.541,0.977,0.263,134.938,rock
Weezer,We Wish You A Merry Christmas,0,84973,False,0.387,0.786,0.462,149.806,rock
For Revenge,Fiksi,36,202146,False,0.461,0.944,0.389,92.468,rock
Vance Joy,Catalonia,2,218306,False,0.399,0.801,0.696,199.792,rock
Los Prisioneros,Estar Solo,39,246960,False,0.69,0.736,0.969,122.454,rock
Slipknot,Duality,0,252613,False,0.354,0.982,0.194,143.79,rock
Leeland,Way Maker - Live,67,503240,False,0.432,0.524,0.183,135.956,rock
Nirvana,Something In The Way,76,232146,False,0.427,0.201,0.0668,105.218,rock
ASIAN KUNG-FU GENERATION,ブラッドサーキュレーター,57,222826,False,0.372,0.975,0.3,181.017,rock
X Ambassadors,Renegades,75,195200,False,0.526,0.862,0.528,90.052,rock
Rob Zombie,Living Dead Girl,2,201400,False,0.518,0.948,0.548,103.025,rock
Jason Mraz,Bella Luna,1,302346,False,0.755,0.454,0.33,120.06,rock
